target,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time_seconds
priority,LinearSVC,0.6736246240934017,0.6622877900987589,0.6638274646701613,0.6630180167488505,0.6738408458956221,0.6736246240934017,0.6736920501862109,2.18
priority,LogisticRegression,0.6161330267114806,0.6040928566039376,0.6180890582575975,0.6082084217637791,0.624160536178461,0.6161330267114805,0.6180852145392308,2.03
priority,MultinomialNB,0.5379444542720679,0.6016135888614311,0.47396704419176333,0.4675515002169397,0.573977944004266,0.5379444542720679,0.5105603664283899,1.31
