target,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time_seconds
priority,LinearSVC,0.6736246240934017,0.6622877900987589,0.6638274646701613,0.6630180167488505,0.6738408458956221,0.6736246240934017,0.6736920501862109,2.18
priority,LogisticRegression,0.6161330267114806,0.6040928566039376,0.6180890582575975,0.6082084217637791,0.624160536178461,0.6161330267114805,0.6180852145392308,2.03
priority,MultinomialNB,0.5379444542720679,0.6016135888614311,0.47396704419176333,0.4675515002169397,0.573977944004266,0.5379444542720679,0.5105603664283899,1.31
queue,LinearSVC,0.6467362462409341,0.6331265370047093,0.6947884188552659,0.6589432467005696,0.652812587711809,0.6467362462409341,0.6470429961364472,3.19
queue,LogisticRegression,0.5197240403325668,0.48344885789419145,0.606136393769291,0.5208761631567815,0.5459800350299641,0.5197240403325668,0.520262846805803,3.49
queue,MultinomialNB,0.42473023173536173,0.6443971227663284,0.2541311246817462,0.26401736393316144,0.5241447330901422,0.42473023173536173,0.38061917379741017,1.31
